"","id","time","production"
"432","BGD",2008,0
"433","BGD",2009,0
"434","BGD",2010,0
"435","BGR",1980,275.289855332375
"436","BGR",1981,250.961608972549
"437","BGR",1982,276.976650047302
"438","BGR",1983,198.100050398111
"439","BGR",1984,205.454478664398
"440","BGR",1985,184.976102368832
"441","BGR",1986,220.922869385481
"442","BGR",1987,257.196261343956
"443","BGR",1988,216.708694620132
"444","BGR",1989,250.101429731846
"445","BGR",1990,214.3554380548
"446","BGR",1991,201.477704265118
"447","BGR",1992,255.078859283924
"448","BGR",1993,209.711336503029
"449","BGR",1994,173.156804252863
"450","BGR",1995,208.873533351421
"451","BGR",1996,229.805306465626
"452","BGR",1997,226.730818777084
"453","BGR",1998,224.275758838654
"454","BGR",1999,213.988154802322
"455","BGR",2000,180.859585636854
"456","BGR",2001,223.099714827538
"457","BGR",2002,220.05265059948
"458","BGR",2003,235.339472749233
"459","BGR",2004,204.261526809931
"460","BGR",2005,204.568478863239
"461","BGR",2006,198.61028514266
"462","BGR",2007,223.619975671768
"463","BGR",2008,198.54909588933
"464","BGR",2009,209.339001040459
"465","BGR",2010,221.006733839512
"466","BIH",1980,143.330451290607
"467","BIH",1981,132.728286881447
"468","BIH",1982,117.776066154838
"469","BIH",1983,111.837333692908
"470","BIH",1984,157.095832393169
"471","BIH",1985,150.441684505939
"472","BIH",1986,149.559157361984
"473","BIH",1987,132.293374408484
"474","BIH",1988,151.836513314247
"475","BIH",1989,110.927871884704
"476","BIH",1990,154.768176314831
"477","BIH",1991,129.93908130765
"478","BIH",1992,85.3425971502066
"479","BIH",1993,136.825166670084
"480","BIH",1994,152.75486000061
"481","BIH",1995,147.966748771667
"482","BIH",1996,159.251247520447
"483","BIH",1997,139.283796813488
"484","BIH",1998,144.20580668211
"485","BIH",1999,140.311784956455
"486","BIH",2000,136.662303276062
"487","BIH",2001,139.679891403914
"488","BIH",2002,156.533373072147
"489","BIH",2003,133.321356753111
"490","BIH",2004,140.792198189497
"491","BIH",2005,135.958067680597
"492","BIH",2006,154.377341902256
"493","BIH",2007,161.557163994312
"494","BIH",2008,143.657674832344
"495","BIH",2009,154.195151159763
"496","BIH",2010,135.861652646065
